Vp,Vg,Ia
196.251,-4.0,14.3503
196.313,-4.0,14.3589
197.941,-4.0,14.5354
197.993,-4.0,14.5408
198.631,-4.0,14.613
199.225,-4.0,14.6946
199.361,-4.0,14.7154
199.707,-4.0,14.7717
200.864,-4.0,14.9783
201.348,-4.0,15.0679
201.794,-4.0,15.1499
202.3,-4.0,15.2408
203.178,-4.0,15.3877
204.114,-4.0,15.5215
204.271,-4.0,15.5422
204.921,-4.0,15.6233
206.193,-4.0,15.7828
206.198,-4.0,15.7835
206.529,-4.0,15.83
206.779,-4.0,15.868
207.802,-4.0,16.0503
208.36,-4.0,16.1622
209.246,-4.0,16.343
209.961,-4.0,16.4803
210.066,-4.0,16.4992
210.295,-4.0,16.5396
211.374,-4.0,16.7155
212.245,-4.0,16.852
212.288,-4.0,16.8588
212.763,-4.0,16.9355
213.353,-4.0,17.0372
213.421,-4.0,17.0496
214.075,-4.0,17.1755
214.126,-4.0,17.1859
214.875,-4.0,17.3409
216.407,-4.0,17.6453
216.986,-4.0,17.7441
217.084,-4.0,17.76
217.176,-4.0,17.7747
217.353,-4.0,17.8024
218.013,-4.0,17.9013
219.148,-4.0,18.0616
219.668,-4.0,18.1342
220.155,-4.0,18.2043
220.384,-4.0,18.2382
221.664,-4.0,18.4464
221.705,-4.0,18.4537
221.84,-4.0,18.4777
221.853,-4.0,18.4801
222.33,-4.0,18.5679
222.776,-4.0,18.6533
223.611,-4.0,18.8175
224.281,-4.0,18.9509
224.546,-4.0,19.0036
225.555,-4.0,19.2014
226.099,-4.0,19.3047
227.28,-4.0,19.5204
227.721,-4.0,19.599
228.433,-4.0,19.7253
228.555,-4.0,19.7468
228.692,-4.0,19.7712
230.443,-4.0,20.085
231.29,-4.0,20.2392
232.001,-4.0,20.3707
232.281,-4.0,20.4231
232.333,-4.0,20.4331
232.626,-4.0,20.4884
232.728,-4.0,20.5077
233.742,-4.0,20.6974
234.795,-4.0,20.8852
235.922,-4.0,21.0787
236.467,-4.0,21.1711
236.852,-4.0,21.2361
236.903,-4.0,21.2447
237.558,-4.0,21.3552
239.176,-4.0,21.6293
239.843,-4.0,21.7449
239.949,-4.0,21.7635
240.729,-4.0,21.9019
241.189,-4.0,21.9829
241.495,-4.0,22.036
241.754,-4.0,22.08
241.848,-4.0,22.0958
242.064,-4.0,22.1321
242.066,-4.0,22.1325
243.049,-4.0,22.2968
243.864,-4.0,22.4365
244.053,-4.0,22.4698
245.104,-4.0,22.6667
245.747,-4.0,22.805
246.246,-4.0,22.9222
247.179,-4.0,23.1399
247.494,-4.0,23.2064
247.559,-4.0,23.2195
247.942,-4.0,23.2935
249.273,-4.0,23.5272
249.652,-4.0,23.5905
250.418,-4.0,23.7178
250.578,-4.0,23.7446
250.792,-4.0,23.7807
250.867,-4.0,23.7935
251.331,-4.0,23.8742
252.202,-4.0,24.0355
253.292,-4.0,24.2599
253.318,-4.0,24.2655
253.502,-4.0,24.3054
254.195,-4.0,24.4557
254.296,-4.0,24.4772
255.535,-4.0,24.7197
255.824,-4.0,24.7695
255.928,-4.0,24.7867
256.071,-4.0,24.8098
256.383,-4.0,24.858
258.291,-4.0,25.1305
259.144,-4.0,25.2684
259.28,-4.0,25.2933
259.424,-4.0,25.3211
259.461,-4.0,25.3285
260.749,-4.0,25.6447
260.97,-4.0,25.7051
261.971,-4.0,25.9567
262.058,-4.0,25.9757
262.112,-4.0,25.9871
262.134,-4.0,25.9919
262.669,-4.0,26.0967
263.369,-4.0,26.2182
263.926,-4.0,26.3081
265.122,-4.0,26.496
265.157,-4.0,26.5017
265.699,-4.0,26.5914
265.804,-4.0,26.6096
266.538,-4.0,26.7467
267.05,-4.0,26.8513
267.102,-4.0,26.8622
267.574,-4.0,26.9621
268.28,-4.0,27.1059
268.327,-4.0,27.1149
270.988,-4.0,27.5638
271.05,-4.0,27.5742
271.071,-4.0,27.5778
271.278,-4.0,27.6133
272.049,-4.0,27.7493
272.174,-4.0,27.7718
273.02,-4.0,27.9292
274.052,-4.0,28.1343
274.339,-4.0,28.1952
274.534,-4.0,28.2376
274.683,-4.0,28.2709
275.304,-4.0,28.4182
276.342,-4.0,28.6752
277.182,-4.0,28.8451
277.569,-4.0,28.9052
277.99,-4.0,28.9627
278.654,-4.0,29.0459
278.962,-4.0,29.0842
279.368,-4.0,29.1364
279.588,-4.0,29.1663
280.183,-4.0,29.2574
280.975,-4.0,29.4126
281.055,-4.0,29.4302
282.206,-4.0,29.71
282.48,-4.0,29.7778
282.492,-4.0,29.7806
282.811,-4.0,29.857
283.393,-4.0,29.9874
283.98,-4.0,30.1096
285.515,-4.0,30.4007
285.779,-4.0,30.4481
286.454,-4.0,30.5672
286.948,-4.0,30.6543
287.269,-4.0,30.7116
287.527,-4.0,30.7585
287.588,-4.0,30.7698
