x,Ec=0V,Ec=-1V,Ec=-2V,Ec=-3V,Ec=-4V,Ec=-5V,Ec=-6V,Ec=-7V,Ec=-8V,Ec=-9V,Ec=-10V,Ec=-11V,Ec=-12V,Ec=-13V,Ec=-14V,Ec=-15V,Ec=-16V
186.368,,,,,,,,,,,24.096,,,,,,
187.203,,,,,,,,,,38.089,,,,,,,
187.672,,,,,,,,,54.076,,,,,,,,
187.694,,,,,,,,70.06,,,,,,,,,
188.696,,,,,,,,,,,,16.026,,,,,
189.13,,,,,,,,,,,26.02,,,,,,
189.477,,,,,,,,,,40.099,,,,,,,
189.777,,,,,,,,72.216,,,,,,,,,
190.004,,,,,,,,,56.125,,,,,,,,
190.286,,,,,,,,,,,,,,,2.43,,
190.316,,,,,,,,,,,,,,,,,0.615
190.368,,,,,,,,,,,,,9.249,,,,
190.487,,,,,,,,,,,,,,4.73,,,
190.555,,,,,,,,,,,,,,,,1.674,
191.542,,,,,,,,74.018,,,,,,,,,
191.832,,,,,,,,,,,28.058,,,,,,
191.888,,,,,,,,,,42.065,,,,,,,
191.91,,,,,,,,,58.051,,,,,,,,
191.989,,,,,,,,,,,,17.982,,,,,
193.936,,,,,,,,,,44.058,,,,,,,
194.184,,,,,,,,,60.146,,,,,,,,
194.451,,,,,,,,,,,29.971,,,,,,
195.151,,,,,,,,,,,,,11.346,,,,
195.166,,,,,,,,,,,,,,,,1.995,
195.168,,,,,,,,,,,,19.974,,,,,
195.284,,,,,,,,,,,,,,5.994,,,
195.377,,,,,,,,,,,,,,,3.021,,
195.382,,,,,,,,,,,,,,,,,0.992
196.118,,,,,,,,,62.105,,,,,,,,
196.527,,,,,,,,,,46.087,,,,,,,
197.21,,,,,,,,,,,32.054,,,,,,
198.346,,,,,,,,,,,,22.037,,,,,
198.366,,,,,,,,,64.076,,,,,,,,
198.734,,,,,,,,,,48.062,,,,,,,
199.884,,,,,,,,,,,34.024,,,,,,
200.009,,,,,,,,,,,,,,,3.85,,
200.135,,,,,,,,,,,,,13.649,,,,
200.188,,,,,,,,,,,,,,7.662,,,
200.344,,,,,,,,,,,,,,,,2.508,
200.413,,,,,,,,,66.114,,,,,,,,
200.826,,,,,,,,,,50.091,,,,,,,
201.254,,,,,,,,,,,,24.011,,,,,
202.189,,,,,,,,,,,36.017,,,,,,
202.631,,,,,,,,,68.163,,,,,,,,
203.26,,,,,,,,,,52.066,,,,,,,
204.319,,,,,,,,,,,,26.075,,,,,
204.484,,,,,,,,,,,,,16.024,,,,
204.664,,,,,,,,,,,38.021,,,,,,
204.912,,,,,,,,,,,,,,9.249,,,
204.981,,,,,,,,,,,,,,,4.746,,
205.03,,,,,,,,,,,,,,,,,1.792
205.181,,,,,,,,,,,,,,,,3.009,
205.444,,,,,,,,,,54.068,,,,,,,
207.092,,,,,,,,,,,,28.022,,,,,
207.224,,,,,,,,,,,40.07,,,,,,
207.74,,,,,,,,,,56.087,,,,,,,
208.002,,,,,,,,,,,,,18.069,,,,
209.727,,,,,,,,,,,42.074,,,,,,
