x,Ec=0V,Ec=-2V,Ec=-4V,Ec=-6V,Ec=-8V,Ec=-10V,Ec=-12V,Ec=-14V,Ec=-16V,Ec=-18V,Ec=-20V,Ec=-22V,Ec=-24V,Ec=-26V,Ec=-28V,Ec=-30V
221.705,35.0744,25.9392,18.4537,12.4139,7.8748,4.5043,2.2145,0.9519,,,,,,,,
221.84,,25.9676,18.4777,12.434,7.8913,4.5162,2.2218,0.9552,,,,,,,,
221.853,,25.9704,18.4801,12.436,7.893,4.5174,2.2226,0.9555,,,,,,,,
222.33,,26.0697,18.5679,12.5063,7.9515,4.5605,2.249,0.9673,,,,,,,,
222.776,,26.1607,18.6533,12.571,8.0061,4.6021,2.2743,0.9786,0.2018,,,,,,,
223.611,,26.3251,18.8175,12.6894,8.1075,4.6828,2.323,1.0009,0.2234,,,,,,,
224.281,,26.4529,18.9509,12.7831,8.1882,4.7505,2.3637,1.0202,0.2406,,,,,,,
224.546,,26.5028,19.0036,12.8202,8.22,4.7781,2.3803,1.0283,0.2475,,,,,,,
225.555,,26.6911,19.2014,12.962,8.3401,4.8866,2.4459,1.062,0.2735,,,,,,,
226.099,,26.7923,19.3047,13.0397,8.4042,4.9465,2.4828,1.0824,0.2874,,,,,,,
227.28,,27.0129,19.5204,13.2111,8.5416,5.0746,2.5657,1.133,0.3177,,,,,,,
227.721,,27.0962,19.599,13.2758,8.5921,5.1201,2.5973,1.1543,0.3289,,,,,,,
228.433,,27.2327,19.7253,13.3805,8.6729,5.1882,2.6488,1.1914,0.347,,,,,,,
228.555,,27.2563,19.7468,13.3984,8.6865,5.199,2.6576,1.1979,0.3501,,,,,,,
228.692,,27.2831,19.7712,13.4186,8.702,5.2109,2.6675,1.2055,0.3536,,,,,,,
230.443,,27.6352,20.085,13.6747,8.8951,5.3427,2.7922,1.3059,0.3977,,,,,,,
231.29,,27.8099,20.2392,13.7964,8.9867,5.4023,2.8504,1.3551,0.4187,,,,,,,
232.001,,27.956,20.3707,13.8965,9.0629,5.4551,2.8984,1.3954,0.4362,,,,,,,
232.281,,28.0128,20.4231,13.9354,9.0927,5.4771,2.9171,1.4108,0.4431,,,,,,,
232.333,,28.0235,20.4331,13.9427,9.0983,5.4813,2.9206,1.4137,0.4443,,,,,,,
232.626,,28.0823,20.4884,13.9833,9.1295,5.5053,2.9401,1.4294,0.4515,,,,,,,
232.728,,28.1025,20.5077,13.9973,9.1403,5.5138,2.9469,1.4348,0.4539,,,,,,,
233.742,,28.2994,20.6974,14.1372,9.2487,5.6044,3.0139,1.4853,0.4784,,,,,,,
234.795,,28.4954,20.8852,14.2842,9.3631,5.7081,3.0833,1.5308,0.5036,,,,,,,
235.922,,28.6986,21.0787,14.4467,9.4901,5.8296,3.1582,1.5732,0.5308,,,,,,,
236.467,,28.7956,21.1711,14.528,9.5541,5.8924,3.1949,1.5921,0.5442,,,,,,,
236.852,,28.8638,21.2361,14.5862,9.6005,5.9383,3.2211,1.605,0.5537,,,,,,,
236.903,,28.8727,21.2447,14.594,9.6067,5.9445,3.2245,1.6066,0.555,,,,,,,
237.558,,28.9891,21.3552,14.6946,9.6891,6.0259,3.2699,1.6281,0.5715,,,,,,,
239.176,,29.2855,21.6293,14.9489,9.9112,6.2364,3.385,1.6819,0.6139,,,,,,,
239.843,,29.4162,21.7449,15.0557,10.0089,6.3237,3.4331,1.7057,0.6323,,,,,,,
239.949,,29.4377,21.7635,15.0727,10.0246,6.3374,3.4407,1.7097,0.6352,,,,,,,
240.729,,29.6032,21.9019,15.1992,10.141,6.4353,3.4967,1.74,0.6574,,,,,,,
241.189,,29.7053,21.9829,15.2745,10.2095,6.4885,3.5294,1.7589,0.6709,,,,,,,
241.495,,29.7742,22.036,15.3249,10.2545,6.5207,3.5509,1.772,0.68,,,,,,,
241.754,,29.8324,22.08,15.3676,10.292,6.5452,3.5689,1.7832,0.6877,,,,,,,
241.848,,29.8536,22.0958,15.3832,10.3055,6.5536,3.5755,1.7873,0.6906,,,,,,,
242.064,,29.9021,22.1321,15.4191,10.3361,6.5716,3.5904,1.7969,0.6972,0.1267,,,,,,
242.066,,29.9027,22.1325,15.4195,10.3364,6.5717,3.5905,1.797,0.6972,0.1267,,,,,,
243.049,,30.1181,22.2968,15.583,10.4692,6.6391,3.6572,1.8424,0.7277,0.1462,,,,,,
243.864,,30.2889,22.4365,15.7179,10.5722,6.695,3.7122,1.8817,0.7537,0.1624,,,,,,
244.053,,30.3279,22.4698,15.7491,10.5954,6.7094,3.7251,1.891,0.7598,0.1661,,,,,,
245.104,,30.5411,22.6667,15.9206,10.7201,6.7978,3.7979,1.9439,0.7942,0.1872,,,,,,
245.747,,30.6698,22.805,16.0243,10.7943,6.8564,3.8443,1.9768,0.8155,0.2002,,,,,,
246.246,,30.7693,22.9222,16.104,10.8512,6.9034,3.8818,2.0027,0.8322,0.2103,,,,,,
247.179,,30.9557,23.1399,16.251,10.958,6.994,3.9575,2.0516,0.8639,0.2296,,,,,,
247.494,,31.0192,23.2064,16.3,10.9945,7.0254,3.9855,2.0682,0.8747,0.2362,,,,,,
247.559,,31.0323,23.2195,16.31,11.0021,7.0319,3.9915,2.0717,0.8769,0.2376,,,,,,
247.942,,31.1094,23.2935,16.3684,11.0469,7.0702,4.028,2.092,0.8901,0.2456,,,,,,
249.273,,31.38,23.5272,16.565,11.2095,7.2065,4.1747,2.1639,0.9364,0.2746,,,,,,
249.652,,31.4571,23.5905,16.6203,11.2585,7.2459,4.2205,2.1847,0.9496,0.283,,,,,,
250.418,,31.6123,23.7178,16.7347,11.3638,7.3262,4.3115,2.2273,0.9766,0.3007,,,,,,
250.578,,31.6446,23.7446,16.7593,11.3872,7.3431,4.3291,2.2363,0.9823,0.3044,,,,,,
250.792,,31.6876,23.7807,16.7926,11.4194,7.3658,4.351,2.2485,0.9899,0.3094,,,,,,
250.867,,31.7027,23.7935,16.8044,11.4309,7.3738,4.3582,2.2528,0.9925,0.3112,,,,,,
251.331,,31.795,23.8742,16.8786,11.5046,7.4232,4.3974,2.2794,1.009,0.3222,,,,,,
252.202,,31.9653,24.0355,17.0227,11.6508,7.5167,4.457,2.3305,1.0401,0.3429,,,,,,
253.292,,32.1715,24.2599,17.209,11.8332,7.6351,4.5303,2.3974,1.0793,0.3683,,,,,,
253.318,,32.1763,24.2655,17.2135,11.8374,7.6379,4.5322,2.3991,1.0802,0.3689,,,,,,
253.502,,32.2102,24.3054,17.2454,11.8666,7.658,4.5454,2.4108,1.0868,0.373,,,,,,
254.195,,32.3368,24.4557,17.367,11.9718,7.7343,4.5978,2.4564,1.112,0.3881,,,,,,
